DOCTNMBR,ACCDDATE,NTFYHOUR,COUNTY,MUNICIPALITY,MUNITYPE,ONHWYRP,ONHWYDIR,ONHWY,ONSTR,ATHWY,ATSTR,INTDIR,INTDIS,ACCDSVR,INJSVR,TOTFATL,TOTINJ,ACCDTYPE,MNRCOLL,ACCDLOC,HWYCLASS,CONSZONE,ALCFLAG,BIKEFLAG,CYCLFLAG,PEDFLAG,TOTVEH,LATDECDG,LONDECDG,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,tract_id
62L01L4FB9,6/16/2022,16,MILWAUKEE,BAYSIDE,V,32.0,N,W,PORT WASHINGTON RD,32,,,0,INJ,B,0,1,PED,ANGL,N,U CITY,,,,,Y,1,43.176887,-87.912965,POINT (-87.912965 43.176887),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
1ML0MFXHMB,11/23/2017,18,MILWAUKEE,BAYSIDE,V,43.0,N,43,,,CROSSOVER IH 43,S,11,INJ,B,0,2,PED,NO,N,U IH,,,,,Y,1,43.182572,-87.920057,POINT (-87.920057 43.182572),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
62L08368XZ,8/5/2020,17,MILWAUKEE,BAYSIDE,V,,,32,,32,,W,8,INJ,B,0,1,,NO,PL,U STH,,,,,Y,1,43.176714,-87.914583,POINT (-87.914583 43.176714),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
62L02BC3BF,11/11/2020,10,MILWAUKEE,BAYSIDE,V,,,W,PORT WASHINGTON RD,,FAIRY CHASM RD,N,1,INJ,B,0,1,PED,NO,I,U CITY,,,,,Y,1,43.18415,-87.917442,POINT (-87.917442 43.18415),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
62L08368Z3,10/5/2020,18,MILWAUKEE,BAYSIDE,V,,,,N FAIRWAY DR,,N WAVERLY DR,E,1,INJ,B,0,1,,BLNK,N,U CITY,,,,,Y,1,43.185319,-87.90642,POINT (-87.90642 43.185319),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
62L01L4FB5,8/29/2021,18,MILWAUKEE,BAYSIDE,V,,,,PRIVATE PROPERTY,W,PORT WASHINGTON RD,,0,INJ,C,0,1,,NO,PL,U CITY,,,,,Y,1,43.177129,-87.911791,POINT (-87.911791 43.177129),263.0,55,079,030100,55079030100,1400000US55079030100,301,Census Tract 301,G5020,S,5955581.0,1323427.0,+43.1823795,-087.8977108,030100
FT3QM9T,1/10/2012,18,MILWAUKEE,BROWN DEER,V,57.0,N,57,GREEN BAY RD,,DEERWOOD DR N,S,4,INJ,A,0,1,PED,NO,N,U STH,,,,,Y,1,43.1823051,-87.9630524,POINT (-87.9630524 43.1823051),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
FT47FQW,11/22/2013,11,MILWAUKEE,BROWN DEER,V,57.0,N,57,GREEN BAY RD,,DEERWOOD DR N, ,0,INJ,B,0,1,PED,NO,I,U STH,,,,,Y,1,43.182794,-87.9633794,POINT (-87.9633794 43.182794),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
5HL0245WRQ,6/12/2017,11,MILWAUKEE,BROWN DEER,V,57.0,N,,W SCHROEDER DR,57,,,0,INJ,B,0,1,,NO,I,U CITY,,,,,Y,1,43.186432,-87.964427,POINT (-87.964427 43.186432),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
A350594,4/4/2010,2,MILWAUKEE,BROWN DEER,V,57.0,N,57,N GREEN BAY RD,,W DEER RUN DR, ,0,INJ,A,0,1,PED,NO,N,U STH,,Y,,,Y,1,43.1884779,-87.9644131,POINT (-87.9644131 43.1884779),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
